ID,Group,Value
1,1,1601
2,1,1961
3,1,1797
4,1,813
5,1,113
6,1,1700
7,1,985
8,1,609
9,1,797
10,1,431
11,1,916
12,1,1243
13,1,1451
14,1,22
15,1,1574
16,1,1654
17,1,1184
18,1,1217
19,1,1965
20,1,391
21,1,1643
22,1,1876
23,1,1477
24,1,705
25,1,979
26,1,1028
27,1,1551
28,1,1561
29,1,1174
30,1,256
31,1,1842
32,1,1984
33,1,319
34,1,95
35,1,257
36,1,187
37,1,998
38,1,699
39,1,401
40,1,272
41,1,1929
42,1,1034
43,1,1826
44,1,1880
45,1,666
46,1,1456
47,1,1666
48,1,1538
49,1,617
50,1,952
51,1,1479
52,1,805
53,1,1823
54,1,616
55,1,1416
56,1,1045
57,1,155
58,1,1078
59,1,157
60,1,1374
61,1,1888
62,1,658
63,1,1490
64,1,881
65,1,1766
66,1,1981
67,1,1572
68,1,204
69,1,369
70,1,649
71,1,56
72,1,1027
73,1,534
74,1,1652
75,1,286
76,1,1889
77,1,1400
78,1,591
79,1,1766
80,1,759
81,1,299
82,1,1569
83,1,1533
84,1,953
85,1,964
86,1,56
87,1,412
88,1,1656
89,1,1577
90,1,1383
91,1,1803
92,1,811
93,1,1843
94,1,1907
95,1,1831
96,1,1125
97,1,1204
98,1,994
99,1,495
100,1,1963
101,1,56
102,1,835
103,1,1322
104,1,1850
105,1,344
106,1,310
107,1,462
108,1,572
109,1,1795
110,1,817
111,1,1758
112,1,1053
113,1,484
114,1,1670
115,1,507
116,1,1892
117,1,1000
118,1,110
119,1,1946
120,1,228
121,1,111
122,1,1255
123,1,1680
124,1,541
125,1,1746
126,1,401
127,1,421
128,1,213
129,1,605
130,1,1862
131,1,1905
132,1,830
133,1,1062
134,1,334
135,1,732
136,1,774
137,1,940
138,1,1025
139,1,1535
140,1,287
141,1,103
142,1,1346
143,1,1637
144,1,1882
145,1,1360
146,1,1297
147,1,1892
148,1,352
149,1,1412
150,1,293
151,1,421
152,1,1567
153,1,409
154,1,1561
155,1,725
156,1,17
157,1,1591
158,1,942
159,1,1807
160,1,791
161,1,358
162,1,109
163,1,1346
164,1,1978
165,1,1268
166,1,1291
167,1,1540
168,1,576
169,1,1818
170,1,912
171,1,577
172,1,1746
173,1,1941
174,1,1503
175,1,929
176,1,1156
177,1,1185
178,1,877
179,1,1545
180,1,1368
181,1,1471
182,1,964
183,1,1862
184,1,1754
185,1,1019
186,1,231
187,1,1501
188,1,413
189,1,1372
190,1,1312
191,1,800
192,1,392
193,1,108
194,1,580
195,1,1860
196,1,1617
197,1,724
198,1,160
199,1,1444
200,1,1663
201,1,460
202,1,577
203,1,152
204,1,1234
205,1,330
206,1,196
207,1,50
208,1,27
209,1,344
210,1,1061
211,1,1089
212,1,1979
213,1,1640
214,1,1272
215,1,1275
216,1,489
217,1,1790
218,1,1154
219,1,298
220,1,1063
221,1,384
222,1,541
223,1,646
224,1,1648
225,1,1482
226,1,1547
227,1,1108
228,1,1943
229,1,484
230,1,64
231,1,288
232,1,721
233,1,1041
234,1,1911
235,1,1773
236,1,1594
237,1,1867
238,1,1961
239,1,1894
240,1,835
241,1,727
242,1,945
243,1,486
244,1,663
245,1,1543
246,1,932
247,1,194
248,1,799
249,1,845
250,1,1675
251,1,1804
252,1,525
253,1,240
254,1,1646
255,1,871
256,1,1179
257,1,123
258,1,1474
259,1,31
260,1,558
261,1,1868
262,1,1162
263,1,749
264,1,415
265,1,1100
266,1,79
267,1,56
268,1,134
269,1,394
270,1,178
271,1,387
272,1,1663
273,1,1032
274,1,1136
275,1,1414
276,1,1061
277,1,1175
278,1,690
279,1,415
280,1,719
281,1,1044
282,1,793
283,1,763
284,1,694
285,1,1043
286,1,1425
287,1,1641
288,1,1219
289,1,269
290,1,749
291,1,703
292,1,1947
293,1,651
294,1,605
295,1,1136
296,1,549
297,1,272
298,1,196
299,1,220
300,1,436
301,1,1460
302,1,492
303,1,1507
304,1,801
305,1,87
306,1,1220
307,1,990
308,1,962
309,1,1975
310,1,1749
311,1,1893
312,1,1554
313,1,818
314,1,1563
315,1,866
316,1,502
317,1,1369
318,1,1302
319,1,1976
320,1,28
321,1,1755
322,1,1431
323,1,895
324,1,1181
325,1,1743
326,1,808
327,1,1848
328,1,257
329,1,917
330,1,1878
331,1,204
332,1,1883
333,1,1744
334,1,1546
335,1,491
336,1,683
337,1,1198
338,1,973
339,1,985
340,1,331
341,1,810
342,1,1395
343,1,902
344,1,1026
345,1,1977
346,1,153
347,1,282
348,1,1095
349,1,796
350,1,1080
351,1,1315
352,1,419
353,1,1596
354,1,1724
355,1,276
356,1,1477
357,1,648
358,1,1745
359,1,927
360,1,557
361,1,172
362,1,1656
363,1,1748
364,1,1877
365,1,1348
366,1,1002
367,1,897
368,1,1145
369,1,1703
370,1,927
371,1,481
372,1,216
373,1,415
374,1,1334
375,1,758
376,1,1673
377,1,424
378,1,327
379,1,1767
380,1,1588
381,1,1045
382,1,784
383,1,1570
384,1,411
385,1,1474
386,1,1774
387,1,270
388,1,1580
389,1,417
390,1,1794
391,1,1742
392,1,644
393,1,1791
394,1,1676
395,1,294
396,1,1004
397,1,1398
